27.85,0.006352
20.03,0.009568
7.45,0.012784
10.36,0.016
10.36,0.019216
53.84,0.006352
38.72,0.009568
27.85,0.012784
14.40,0.016
20.03,0.019216
14.40,0.022432
20.03,0.006352
38.72,0.009568
20.03,0.012784
10.36,0.016
27.85,0.019216
38.72,0.022432
38.72,0.025648
27.85,0.006352
53.84,0.009568
27.85,0.012784
53.84,0.016
7.45,0.019216
20.03,0.022432
20.03,0.025648
27.85,0.009568
14.40,0.012784
53.84,0.016
10.36,0.019216
38.72,0.022432
10.36,0.025648
7.45,0.006352
14.40,0.009568
38.72,0.012784
27.85,0.016
10.36,0.019216
53.84,0.006352
7.45,0.009568
20.03,0.012784
27.85,0.016
38.72,0.019216
10.36,0.022432
53.84,0.006352
14.40,0.009568
7.45,0.012784
10.36,0.016
14.40,0.019216
7.45,0.022432
38.72,0.025648
38.72,0.006352
14.40,0.009568
53.84,0.012784
53.84,0.016
20.03,0.019216
20.03,0.022432
27.85,0.025648
27.85,0.009568
20.03,0.012784
38.72,0.016
14.40,0.019216
14.40,0.022432
14.40,0.025648
